ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
"24MESHLQ40""LEVENDER",1/2023,Jan,2023,KA,VISHNU METAL FINISHERS,,,1448.66,33750,10,337500
"24MESHLQ40""LEVENDER",5/2019,May,2019,,,333.5,7387,,,,
"24MESHLQ40""LEVENDER(5.0Kgs)",4/2022,Apr,2022,GJ,GUGANRAM SATNARAIN,1469.72,27900,756.3,14400,28,201600
"24MESHLQ40""LEVENDER(5.0Kgs)",5/2022,May,2022,GJ,GUGANRAM SATNARAIN,86.3,7200,701.3,13200,13.5,178200
"24MESHLQ40""LEVENDER(5.0Kgs)",6/2022,Jun,2022,GJ,GUGANRAM SATNARAIN,91.1,1700,514.15,9600,12.75,122400
"24MESHLQ40""LEVENDER(5.0Kgs)",7/2022,Jul,2022,GJ,GUGANRAM SATNARAIN,687.1,12800,331.2,6000,12.75,76500
"24MESHLQ40""LEVENDER(5.0Kgs)",8/2022,Aug,2022,GJ,GUGANRAM SATNARAIN,2334,45680,994.04,19200,38.25,244800
"24MESHLQ40""LEVENDER(5.0Kgs)",9/2022,Sep,2022,KA,VISHNU METAL FINISHERS,2653.7,52700,3822.91,75600,63.5,957600
"24MESHLQ40""LEVENDER(5.0Kgs)",10/2022,Oct,2022,GJ,GUGANRAM SATNARAIN,524,10000,311.84,6000,12.75,76500
"24MESHLQ40""LEVENDER(5.0Kgs)",11/2022,Nov,2022,,,1934.4,38500,,,,
"24MESHLQ40""LEVENDER(5.0Kgs)",12/2022,Dec,2022,,,1228.6,24200,,,,
"24MESHLQ40""LEVENDER(5.0Kgs)",1/2023,Jan,2023,,,140.3,2700,,,,
"24MESHLQ40""LEVENDER(5.5Kgs)",8/2022,Aug,2022,MP,S.R.ENTERPRISES,1190.5,21300,557.05,10000,14,140000
"24MESHLQ40""LEVENDER(5.5Kgs)",9/2022,Sep,2022,,,887.4,16100,,,,
"24MESHLQ40""LEVENDER(5.5Kgs)",10/2022,Oct,2022,,,581,10500,,,,
"24MESHLQ40""LEVENDER(5.5Kgs)",11/2022,Nov,2022,,,88.4,1659,,,,
"24MESHLQ42""S.BLUE",2/2021,Feb,2021,,,18.7,450,,,,
"24MESHLQ42""S.BLUE",3/2021,Mar,2021,,,281.5,6030,,,,
"24MESHLQ42""S.BLUE",4/2021,Apr,2021,,,565.3,12330,,,,
"24MESHLQ42""S.BLUE",5/2021,May,2021,,,556.5,12240,,,,
"24MESHLQ42""S.BLUE",6/2021,Jun,2021,,,545,11610,,,,
"24MESHLQ42""S.BLUE",7/2021,Jul,2021,,,60.9,1240,,,,
"24MESHLQ42""S.BLUE",11/2021,Nov,2021,AP,"SRI BALAJI TRADING CO.,",,,4.31,90,14,1260
"24MESHLQ42""S.BLUE",12/2021,Dec,2021,MP,S.R.ENTERPRISES,,,63.92,1350,13,17550
"24MESHLQ42""S.BLUE",1/2022,Jan,2022,TN,ASHOK HARDWARE & ALLIED PRODUCTS,,,189.68,4050,12,48600
"24MESHLQ42""S.BLUE",2/2022,Feb,2022,GJ,GUGANRAM SATNARAIN,,,123.01,2700,13,35100
"24MESHLQ42""S.BLUE",6/2022,Jun,2022,AP,"SRI BALAJI TRADING CO.,",,,114.18,2340,40,30060
"24MESHLQ42""S.BLUE",7/2019,Jul,2019,AP,DURGA KARTIKEYA GENERAL STORES,,,185.05,3600,14.5,52200
"24MESHLQ42""BLACK",10/2019,Oct,2019,MH,A.R.TRADERS,471.7,9000,332.38,6300,28,88200
"24MESHLQ42""BLACK",11/2019,Nov,2019,MH,NATIONAL SYNTHETIC FISHING MATERIALS,936.6,17820,480.32,9000,28,126000
"24MESHLQ42""BLACK",12/2019,Dec,2019,MH,MULTI TRADELINKS,659,12510,148.11,2700,16,43200
"24MESHLQ42""BLACK",1/2020,Jan,2020,MH,A.R.TRADERS,434.5,8478,561.85,10800,58,154800
"24MESHLQ42""BLACK",2/2020,Feb,2020,MH,A.R.TRADERS,,,903.01,17100,70,239400
"24MESHLQ42""BLACK",3/2020,Mar,2020,MH,A.R.TRADERS,,,595.59,11700,44,169200
"24MESHLQ42""BLACK",5/2020,May,2020,MH,A.R.TRADERS,,,2645.3,54000,56,756000
"24MESHLQ42""BLACK",6/2020,Jun,2020,MH,A.R.TRADERS,441.4,8250,2329.31,45900,56.5,644850
"24MESHLQ42""BLACK",7/2020,Jul,2020,MH,A.R.TRADERS,1054.1,20010,975.49,18000,29,261000
"24MESHLQ42""BLACK",8/2020,Aug,2020,MH,A.R.TRADERS,645.4,12090,392.36,7200,29,104400
"24MESHLQ42""BLACK",9/2020,Sep,2020,MH,A.R.TRADERS,950.6,17640,436.41,8100,43.5,117450
"24MESHLQ42""BLACK",10/2020,Oct,2020,MH,A.R.TRADERS,1706.8,32340,197.79,3600,31.5,56700
"24MESHLQ42""BLACK",11/2020,Nov,2020,MH,A.R.TRADERS,682.4,13290,241.14,4500,14.5,65250
"24MESHLQ42""BLACK",12/2020,Dec,2020,MH,A.R.TRADERS,163.8,3100,376.8,7200,31.5,111150
"24MESHLQ42""BLACK",1/2021,Jan,2021,MH,A.R.TRADERS,523,9990,89.64,1800,14.5,26100
"24MESHLQ42""BLACK",2/2021,Feb,2021,MH,NATIONAL SYNTHETIC FISHING MATERIALS,142.3,2670,480.76,9000,29,130500
"24MESHLQ42""BLACK",3/2021,Mar,2021,MH,NATIONAL SYNTHETIC FISHING MATERIALS,,,928.49,17100,76,257400
"24MESHLQ42""BLACK",4/2021,Apr,2021,MH,A.R.TRADERS,15.3,300,1216.529,22650,61,339900
"24MESHLQ42""BLACK",5/2021,May,2021,MH,A.R.TRADERS,322.1,6360,623.03,11700,45,175500
"24MESHLQ42""BLACK",6/2021,Jun,2021,MH,A.R.TRADERS,1109.9,21300,1838.74,35100,107,531900
"24MESHLQ42""BLACK",7/2021,Jul,2021,MH,NATIONAL SYNTHETIC FISHING MATERIALS,1179.3,21990,337.33,6300,30,94500
"24MESHLQ42""BLACK",8/2021,Aug,2021,MH,A.R.TRADERS,2206.4,41220,971.44,18000,77,277200
"24MESHLQ42""BLACK",9/2021,Sep,2021,MH,A.R.TRADERS,790.4,14700,195.6,3600,15,54000
"24MESHLQ42""BLACK",10/2021,Oct,2021,MH,A.R.TRADERS,917.7,17460,1785.25,33300,119,495000
"24MESHLQ42""BLACK",12/2021,Dec,2021,MH,A.R.TRADERS,605.9,11460,1091.41,20700,92,319500
"24MESHLQ42""BLACK",1/2022,Jan,2022,MH,A.R.TRADERS,,,242.26,4500,15,67500
"24MESHLQ42""BLACK",2/2022,Feb,2022,MH,A.R.TRADERS,648.5,12030,1154.87,21600,75,324000
"24MESHLQ42""BLACK",3/2022,Mar,2022,MH,A.R.TRADERS,2746.7,52500,1332.62,25200,76,382500
"24MESHLQ42""BLACK",4/2019,Apr,2019,MH,A.R.TRADERS,2142.7,39420,1545.24,27900,100,396000
"24MESHLQ42""BLACK",4/2022,Apr,2022,MH,A.R.TRADERS,2517.5,48930,1371.9,27000,64,432000
"24MESHLQ42""BLACK",5/2022,May,2022,MH,A.R.TRADERS,2157.4,41220,2069.3,39600,113,636300
"24MESHLQ42""BLACK",6/2022,Jun,2022,MH,A.R.TRADERS,1889.6,36180,1311.29,25200,64,403200
"24MESHLQ42""BLACK",7/2022,Jul,2022,MH,A.R.TRADERS,1678,32100,561.39,10800,65,175500
"24MESHLQ42""BLACK",8/2022,Aug,2022,MH,MULTI TRADELINKS,1001.3,19680,1321.15,25200,97,405900
"24MESHLQ42""BLACK",9/2022,Sep,2022,MH,A.R.TRADERS,324.8,6270,1393.05,26850,114,435450
"24MESHLQ42""BLACK",10/2022,Oct,2022,MH,MULTI TRADELINKS,36.3,660,547.54,10500,65,170100
"24MESHLQ42""BLACK",11/2022,Nov,2022,MH,MULTI TRADELINKS,,,925.61,17850,82,290850
"24MESHLQ42""BLACK",12/2022,Dec,2022,MH,A.R.TRADERS,364.3,7320,984.1,18900,77,287700
"24MESHLQ42""BLACK",1/2023,Jan,2023,MH,A.R.TRADERS,1021.6,19800,440.1,8400,30,126000
"24MESHLQ42""BLACK",5/2019,May,2019,MH,A.R.TRADERS,2455.4,48395,761.66,15300,28,214200
"24MESHLQ42""BLACK",2/2023,Feb,2023,MH,A.R.TRADERS,1036.7,19500,939.33,17850,107,269850
"24MESHLQ42""BLACK",3/2023,Mar,2023,MH,A.R.TRADERS,1175.2,21600,1677.54,31500,92,476700
"24MESHLQ42""BLACK",6/2019,Jun,2019,MH,A.R.TRADERS,2920.3,59550,1931.66,38700,100,547200
"24MESHLQ42""BLACK",7/2019,Jul,2019,MH,A.R.TRADERS,2396.8,50580,1091.81,22500,58,320400
"24MESHLQ42""BLACK",8/2019,Aug,2019,MH,MULTI TRADELINKS,1380.9,27670,1083.43,21600,72,306000
"24MESHLQ42""BLACK",9/2019,Sep,2019,MH,MULTI TRADELINKS,1104.2,21472,912.32,18000,74,261000
"24MESHLQ42""BLUE",10/2019,Oct,2019,AP,KANAKA DURGA GENERAL STORES,3050.5,59532,4974.06,94500,211.5,1337400
"24MESHLQ42""BLUE",11/2019,Nov,2019,AP,"SRI BALAJI TRADING CO.,",5585.2,108746,7671.34,146700,273.4,2007450
"24MESHLQ42""BLUE",12/2019,Dec,2019,AP,Parameshwar Rao Traders,7493.7,146808,9559.985,184050,448.9,2572920
"24MESHLQ42""BLUE",1/2020,Jan,2020,PU,SRI VEERABHADRA ENTERPRISES,15559.7,301660,15416.542,296550,683,4082400
"24MESHLQ42""BLUE",2/2020,Feb,2020,PU,GAYATHRI AGENCIES,16171.61,314549,5160.518,99900,240,1413000
"24MESHLQ42""BLUE",3/2020,Mar,2020,AP,Parameshwar Rao Traders,8524.7,167928,3399.51,66630,160.5,938400
"24MESHLQ42""BLUE",5/2020,May,2020,AP,Parameshwar Rao Traders,4070.4,78930,12806.9,248400,267,3492000
"24MESHLQ42""BLUE",6/2020,Jun,2020,PU,SRI VEERABHADRA ENTERPRISES,4086.5,80820,9286.21,180000,264.5,2531700
"24MESHLQ42""BLUE",7/2020,Jul,2020,AP,"SRI BALAJI TRADING CO.,",5672.4,111030,6053.19,117000,210,1638000
"24MESHLQ42""BLUE",8/2020,Aug,2020,UP,POOJA AGENCIES,4936,95435,4730,91800,156.5,1287900
"24MESHLQ42""BLUE",9/2020,Sep,2020,UP,POOJA AGENCIES,4900.9,94685,7208.06,138900,265.5,1934700
"24MESHLQ42""BLUE",10/2020,Oct,2020,AP,KANAKA DURGA GENERAL STORES,7310,141030,7756.642,148500,315.5,1989450
"24MESHLQ42""BLUE",11/2020,Nov,2020,AP,"SRI BALAJI TRADING CO.,",5885.8,114068,6070.07,116460,364,1616760
"24MESHLQ42""BLUE",12/2020,Dec,2020,AP,KANAKA DURGA GENERAL STORES,13744.5,267648,13231.33,251640,537.5,3545910
"24MESHLQ42""BLUE",1/2021,Jan,2021,AP,"SRI BALAJI TRADING CO.,",9243.1,182098,9333.6,182130,324.5,2534670
"24MESHLQ42""BLUE",2/2021,Feb,2021,AP,"SRI BALAJI TRADING CO.,",9497.2,186935,10079.23,196590,418,2832285
"24MESHLQ42""BLUE",3/2021,Mar,2021,AP,"SRI BALAJI TRADING CO.,",11298.5,219860,9151.13,176220,433,2615040
"24MESHLQ42""BLUE",4/2021,Apr,2021,MH,A.R.TRADERS,7946.95,153417,8015.95,153720,262.5,2234790
"24MESHLQ42""BLUE",5/2021,May,2021,AP,"SRI BALAJI TRADING CO.,",9849.8,191850,10131.804,195300,221.5,2830050
"24MESHLQ42""BLUE",6/2021,Jun,2021,UP,POOJA AGENCIES,14450,282280,12344.17,239940,433.5,3567150
"24MESHLQ42""BLUE",7/2021,Jul,2021,PU,GAYATHRI AGENCIES,11138.2,214380,10603.45,204000,224,3035475
"24MESHLQ42""BLUE",8/2021,Aug,2021,AP,Parameshwar Rao Traders,13337.4,257310,6118.87,116220,194,1720290
"24MESHLQ42""BLUE",9/2021,Sep,2021,AP,"SRI BALAJI TRADING CO.,",11283.1,221310,6637.77,129780,220.7,1902330
"24MESHLQ42""BLUE",10/2021,Oct,2021,UP,POOJA AGENCIES,8429.3,168030,11433.9,224310,204,3240150
"24MESHLQ42""BLUE",11/2021,Nov,2021,AP,KANAKA DURGA GENERAL STORES,1650.6,32760,3555.6,70200,98.4,960300
"24MESHLQ42""BLUE",12/2021,Dec,2021,AP,KANAKA DURGA GENERAL STORES,7188.1,142920,13575.12,264510,482.5,3830205
"24MESHLQ42""BLUE",1/2022,Jan,2022,AP,KANAKA DURGA GENERAL STORES,1837.7,36090,6193.7,120510,190,1747800
"24MESHLQ42""BLUE",2/2022,Feb,2022,MH,A.R.TRADERS,12212.6,232110,12418.84,236340,417.5,3360060
"24MESHLQ42""BLUE",3/2022,Mar,2022,MH,A.R.TRADERS,18966.45,364381,12977.04,246570,468.5,3579360
"24MESHLQ42""BLUE",4/2019,Apr,2019,AP,"SRI BALAJI TRADING CO.,",778.8,14580,2215.88,42300,153.25,588600
"24MESHLQ42""BLUE",4/2022,Apr,2022,AP,KANAKA DURGA GENERAL STORES,14349.2,282260,4410.26,85500,180.5,1272750
"24MESHLQ42""BLUE",5/2022,May,2022,AP,"SRI BALAJI TRADING CO.,",6915.4,134295,6604.69,128790,227.5,1938765
"24MESHLQ42""BLUE",6/2022,Jun,2022,PU,GAYATHRI AGENCIES,5685.2,111510,12763.15,247740,437.5,3521985
"24MESHLQ42""BLUE",7/2022,Jul,2022,KA,INDO SWISS ANTI SHOCK LTD.,3088.2,60510,10554.12,207300,295.55,2899005
"24MESHLQ42""BLUE",8/2022,Aug,2022,AP,"SRI BALAJI TRADING CO.,",6281.2,122880,6371.35,123656,357.5,1682205
"24MESHLQ42""BLUE",9/2022,Sep,2022,MH,A.R.TRADERS,8428.8,164146,6694.86,130140,233,1743000
"24MESHLQ42""BLUE",10/2022,Oct,2022,AP,"SRI BALAJI TRADING CO.,",2623,51150,4826.23,93930,162,1254540
"24MESHLQ42""BLUE",11/2022,Nov,2022,AP,Parameshwar Rao Traders,6818.6,132750,2964.05,57690,150.5,771570
"24MESHLQ42""BLUE",12/2022,Dec,2022,AP,"SRI BALAJI TRADING CO.,",8161.53,157260,3657.13,71040,159.5,929880
"24MESHLQ42""BLUE",1/2023,Jan,2023,AP,Parameshwar Rao Traders,6674.8,129904,5922.14,114930,190,1430670
"24MESHLQ42""BLUE",5/2019,May,2019,PU,GAYATHRI AGENCIES,1333.4,25650,3951.9,74700,207.75,1041525
"24MESHLQ42""BLUE",2/2023,Feb,2023,AP,"SRI BALAJI TRADING CO.,",6745.5,131850,9005.915,175380,309,2215260
"24MESHLQ42""BLUE",3/2023,Mar,2023,AP,"SRI BALAJI TRADING CO.,",7203.8,140040,3191.79,62040,157.5,786735
"24MESHLQ42""BLUE",6/2019,Jun,2019,AP,MANI ENTERPRISES,2327.8,44110,7298.64,139500,443.8,1937745
"24MESHLQ42""BLUE",7/2019,Jul,2019,MH,A.R.TRADERS,9651.1,184360,8390.48,160200,599.25,2165850
"24MESHLQ42""BLUE",8/2019,Aug,2019,AP,"SRI BALAJI TRADING CO.,",14188.5,271190,7449.61,142200,324.1,1915650
"24MESHLQ42""BLUE",9/2019,Sep,2019,AP,Parameshwar Rao Traders,6411,122653,8691.8,165600,308.55,2310750
"24MESHLQ42""GREEN",12/2019,Dec,2019,PU,GAYATHRI AGENCIES,,,101.8,1800,14.5,26100
"24MESHLQ42""GREEN",2/2020,Feb,2020,TN,Shree Palathu Karuppana Swamy Trust,,,281.9,5400,14,75600
"24MESHLQ42""GREEN",7/2020,Jul,2020,PU,GAYATHRI AGENCIES,,,235.3,4500,28,63450
"24MESHLQ42""GREEN",10/2020,Oct,2020,GJ,JAYKAY AQUA TECH,,,46.8,900,15,13500
"24MESHLQ42""GREEN",11/2020,Nov,2020,GJ,JAYKAY AQUA TECH,,,93.6,1800,15,27000
"24MESHLQ42""GREEN",6/2019,Jun,2019,PU,GAYATHRI AGENCIES,,,46.7,900,14.5,13050
"24MESHLQ42""GREEN",7/2019,Jul,2019,AP,"SRI BALAJI TRADING CO.,",,,45.6,900,13.25,11925
"24MESHLQ42""LEVENDER",8/2020,Aug,2020,,,146,2500,,,,
"24MESHLQ42""LEVENDER",12/2021,Dec,2021,,,297.9,7200,,,,
"24MESHLQ42""LEVENDER",1/2022,Jan,2022,AP,Md. Tajuddin,421.1,9720,392.28,9450,11.5,108675
"24MESHLQ42""LEVENDER",2/2022,Feb,2022,,,770.7,17370,,,,
"24MESHLQ42""LEVENDER",3/2022,Mar,2022,MP,S.R.ENTERPRISES,1330,29790,184.63,4050,12.5,50625
"24MESHLQ42""LEVENDER",4/2022,Apr,2022,,,1528.5,34470,,,,
"24MESHLQ42""LEVENDER",5/2022,May,2022,,,1203,28260,,,,
"24MESHLQ42""LEVENDER",6/2022,Jun,2022,,,1554.8,35100,,,,
"24MESHLQ42""LEVENDER",7/2022,Jul,2022,,,168.4,3847,,,,
"24MESHLQ42""LEVENDER",9/2022,Sep,2022,,,130.2,2880,,,,
18mmRed,6/2019,Jun,2019,AP,KANAKA DURGA GENERAL STORES,,,185.71,185.7,180,33427.8
"24MESHLQ42""LEVENDER(1.8kg)",11/2019,Nov,2019,,,415.5,6800,,,,
"24MESHLQ42""LEVENDER(1.8kg)",12/2019,Dec,2019,MP,S.R.ENTERPRISES,1216.5,20974,254.05,4500,12,54000
"24MESHLQ42""LEVENDER(1.8kg)",1/2020,Jan,2020,MP,S.R.ENTERPRISES,1739.2,28500,855.41,13500,24,162000
"24MESHLQ42""LEVENDER(1.8kg)",2/2020,Feb,2020,MP,S.R.ENTERPRISES,1417.1,22400,2258.31,36000,60,432000
"24MESHLQ42""LEVENDER(1.8kg)",3/2020,Mar,2020,MP,S.R.ENTERPRISES,1138.8,18000,1285.96,20700,48,248400
"24MESHLQ42""LEVENDER(1.8kg)",5/2020,May,2020,MP,S.R.ENTERPRISES,389.3,6200,1604.79,27000,25,328500
"24MESHLQ42""LEVENDER(1.8kg)",6/2020,Jun,2020,MP,S.R.ENTERPRISES,3932.7,60987,1349.03,20700,13,269100
"24MESHLQ42""LEVENDER(1.8kg)",7/2020,Jul,2020,MP,S.R.ENTERPRISES,2634.2,42100,4838.42,75600,26,982800
"24MESHLQ42""LEVENDER(1.8kg)",8/2020,Aug,2020,MP,S.R.ENTERPRISES,5210.7,85232,4639.23,75600,40,983700
"24MESHLQ42""LEVENDER(1.8kg)",9/2020,Sep,2020,MP,S.R.ENTERPRISES,4431.9,73850,4727.11,76500,53,1003500
"24MESHLQ42""LEVENDER(1.8kg)",10/2020,Oct,2020,MP,S.R.ENTERPRISES,1700.5,29300,2705.66,45900,52,596700
"24MESHLQ42""LEVENDER(1.8kg)",11/2020,Nov,2020,MP,S.R.ENTERPRISES,5666.6,95100,4910.94,81900,119,1073700
"24MESHLQ42""LEVENDER(1.8kg)",12/2020,Dec,2020,AP,Md. Tajuddin,1286.6,21200,2019.36,33300,70,466200
"24MESHLQ42""LEVENDER(1.8kg)",1/2021,Jan,2021,MP,S.R.ENTERPRISES,5243.9,87200,3975.429,65700,126,919800
"24MESHLQ42""LEVENDER(1.8kg)",2/2021,Feb,2021,MP,S.R.ENTERPRISES,3341.3,53800,3821.84,62100,98,869400
"24MESHLQ42""LEVENDER(1.8kg)",3/2021,Mar,2021,KA,VISHNU METAL FINISHERS,4755.2,78900,5636.814,92600,134,1380000
"24MESHLQ42""LEVENDER(1.8kg)",4/2021,Apr,2021,KA,VISHNU METAL FINISHERS,3865.6,65047,3748.29,63080,95,998030
"24MESHLQ42""LEVENDER(1.8kg)",5/2021,May,2021,KA,VISHNU METAL FINISHERS,4331.5,72900,484.12,8100,16,129600
"24MESHLQ42""LEVENDER(1.8kg)",6/2021,Jun,2021,MP,S.R.ENTERPRISES,5398.7,90100,4542.87,76500,62,1185750
"24MESHLQ42""LEVENDER(1.8kg)",7/2021,Jul,2021,MP,S.R.ENTERPRISES,3825.1,64700,543.52,9000,15.5,139500
"24MESHLQ42""LEVENDER(1.8kg)",8/2021,Aug,2021,MP,S.R.ENTERPRISES,3574.8,60700,4947.54,83700,31,1297350
"24MESHLQ42""LEVENDER(1.8kg)",9/2021,Sep,2021,MP,S.R.ENTERPRISES,561.5,9700,3468,58500,62.5,909000
"24MESHLQ42""LEVENDER(1.8kg)",10/2021,Oct,2021,MP,S.R.ENTERPRISES,1837.1,36640,1919.19,32400,62.5,504450
"24MESHLQ42""LEVENDER(1.8kg)",11/2021,Nov,2021,MP,S.R.ENTERPRISES,4213.9,69712,6308.41,105300,140.5,1636650
"24MESHLQ42""LEVENDER(1.8kg)",12/2021,Dec,2021,KA,VISHNU METAL FINISHERS,5352.2,88725,2403.66,39600,62,613800
"24MESHLQ42""LEVENDER(1.8kg)",1/2022,Jan,2022,GJ,GUGANRAM SATNARAIN,2600.1,44255,1060.98,18100,45.5,280450
"24MESHLQ42""LEVENDER(1.8kg)",2/2022,Feb,2022,GJ,GUGANRAM SATNARAIN,2107.7,34900,268.04,4500,16,72000
"24MESHLQ42""LEVENDER(1.8kg)",3/2022,Mar,2022,GJ,GUGANRAM SATNARAIN,504.3,8420,1081.61,18000,32,288000
"24MESHLQ42""LEVENDER(1.8kg)",4/2022,Apr,2022,KA,VISHNU METAL FINISHERS,106.48,1845,4912.57,81900,62,1269450
