ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT,O U P
100,9/2022,9,4,1,8,,,109.16,2700,12,32400,-109.16
101,10/2020,10,2,,,60.1,1260,,,,,60.1
101,11/2020,11,2,,,233.3,4950,,,,,233.3
101,12/2020,12,2,1,8,255.8,5580,56.02,1170,11.5,13455,199.78
101,2/2021,2,3,1,8,352.5,7470,109.4,2340,11.5,26910,243.1
101,3/2021,3,3,,,283.5,5940,,,,,283.5
101,4/2021,4,3,,,59.5,1260,,,,,59.5
102,10/2019,10,1,7,45,,,107.7,2400,10.5,25200,-107.7
102,11/2019,11,1,7,45,,,1312.64,30000,9,270000,-1312.64
102,3/2020,3,2,6,19,,,637.26,14340,9.5,136230,-637.26
102,2/2022,2,4,6,19,115.7,2610,115.7,2610,13,33930,0
