Month,Item Name,Amount
JAN,24MESHLQ42 BLACK,9795540
FEB,SF54 B.PINK,11747550
MAR,SF54 B.PINK,8667550
APR,SF54 B.PINK,10380310
MAY,SF54 B.PINK,13957000
JUN,SF54 B.PINK,15171450
JUL,SF54 B.PINK,14664600
AUG,SF54 B.PINK,11279895
SEP,SF54 B.PINK,13438700
OCT,SF54 B.PINK,8811150
NOV,SF54 B.PINK,10413530
DEC,SF54 B.PINK,11650170
