ITEM ID,TIME ID,TIME M ID,TIME Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
376,19,7,2,,,274.6,2500,,,,
376,41,5,4,,,575.1,5214,,,,
376,44,8,4,,,459.9,4100,,,,
384,45,9,4,,,965.1,20000,,,,
384,46,10,4,,,88.9,1800,,,,
389,25,1,3,,,589.6,9950,,,,
389,37,1,4,,,88.1,1350,,,,
389,8,8,1,,,499.6,8450,,,,
390,8,8,1,,,79.6,1000,,,,
390,9,9,1,,,106.2,1350,,,,
391,36,12,3,,,322,3800,,,,
391,43,7,4,,,303.5,3585,,,,
391,8,8,1,,,204.4,2643,,,,
392,19,7,2,,,317.7,6200,,,,
392,25,1,3,,,1220.3,24000,,,,
392,35,11,3,,,427.5,7800,,,,
392,36,12,3,,,1574.3,30000,,,,
392,38,2,4,,,1017.7,19000,,,,
392,39,3,4,,,296.6,5550,,,,
393,35,11,3,,,948.3,25500,,,,
393,39,3,4,,,2504.2,65000,,,,
393,40,4,4,,,447.2,10450,,,,
393,41,5,4,,,192.5,5150,,,,
393,44,8,4,,,63.4,0,,,,
393,6,6,1,,,1.9,50,,,,
395,14,2,2,,,15.4,500,,,,
395,15,3,2,,,78.2,2500,,,,
395,46,10,4,,,333.4,10000,,,,
395,47,11,4,,,368.7,11050,,,,
396,28,4,3,,,145.8,2307,,,,
396,49,1,5,,,304,4950,,,,
397,23,11,2,,,340,4858,,,,
397,25,1,3,,,183.3,2705,,,,
397,32,8,3,,,813.4,11800,,,,
397,33,9,3,,,1775.8,25700,,,,
397,34,10,3,,,636.9,9132,,,,
397,40,4,4,,,491.1,7050,,,,
397,42,6,4,,,103.9,1533,,,,
397,43,7,4,,,388,5795,,,,
397,44,8,4,,,664.4,9400,,,,
397,45,9,4,,,1153.1,16150,,,,
397,8,8,1,,,2258.3,32250,,,,
397,9,9,1,,,2090.8,29325,,,,
398,20,8,2,,,609.4,6750,,,,
398,28,4,3,,,650.42,7250,,,,
398,31,7,3,,,806.6,9000,,,,
398,33,9,3,,,783.7,8900,,,,
398,43,7,4,,,958,10815,,,,
398,44,8,4,,,153.2,1712,,,,
398,51,3,5,,,64.7,710,,,,
40,27,3,3,,,178.6,1800,,,,
40,30,6,3,,,1339.6,13500,,,,
40,32,8,3,,,504,5130,,,,
40,33,9,3,,,2894.5,28410,,,,
40,35,11,3,,,1215.3,11670,,,,
40,37,1,4,,,145.6,1410,,,,
40,39,3,4,,,847.9,8160,,,,
40,46,10,4,,,57,540,,,,
406,20,8,2,,,48,630,,,,
406,40,4,4,,,97,1260,,,,
41,14,2,2,,,3596.9,35400,,,,
41,18,6,2,,,2398.6,23850,,,,
41,21,9,2,,,4721.6,47460,,,,
41,23,11,2,,,3052.1,31170,,,,
41,26,2,3,,,4067.1,40860,,,,
41,33,9,3,,,2377.6,23490,,,,
41,35,11,3,,,1223.6,11940,,,,
41,37,1,4,,,1514.3,14910,,,,
41,41,5,4,,,151.3,1554,,,,
41,46,10,4,,,444.2,4350,,,,
410,31,7,3,,,45,720,,,,
413,23,11,2,,,422,6000,,,,
415,26,2,3,,,637.45,8600,,,,
419,49,1,5,,,12,150,,,,
