ITEM ID,TIME ID,TIME_M ID,TIME_Y ID,STATE ID,PARTY ID,FABRIC KGS,FABRIC MTRS,SOLD KGS,SOLD MTRS,RATE,AMOUNT
443,20,8,2,7,37,,,42.42,375,48.92,9102
443,23,11,2,7,30,,,16.28,150,27,4050
443,4,4,1,14,75,,,51.75,450,50.4,11340
443,5,5,1,7,37,,,69.16,638,147.92,19961.2
446,12,12,1,11,61,,,373,3135,24.5,76807.5
446,28,4,3,7,34,,,3,22.5,23.28,523.8
446,38,2,4,7,34,,,6,51,28,1428
446,47,11,4,7,34,,,3.9,10.5,30.5,457.5
446,50,2,5,7,38,,,70,600,31,18600
446,7,7,1,12,64,,,3.9,33,28,924
447,5,5,1,7,37,,,3.9,33,0,0
452,9,9,1,11,61,,,931,9000,20.28,182520
453,22,10,2,9,49,,,83,750,31,23250
48,39,3,4,14,74,,,6,60,28,1680
49,13,1,2,6,19,,,957.04,9600,636.5,185700
49,14,2,2,9,54,,,786.73,7800,138.5,147300
49,19,7,2,9,49,,,600.7,6000,79.5,129000
49,22,10,2,6,20,,,1326.45,12630,767,281760
49,23,11,2,6,19,,,316.26,3000,46,69000
49,26,2,3,6,15,,,541.76,5400,125,117000
49,27,3,3,9,54,,,604.71,6000,105,126000
49,28,4,3,9,49,,,554.63,5520,100,111600
49,29,5,3,6,15,,,559.58,5400,81,111000
49,30,6,3,6,15,,,179.85,1800,41,39000
49,39,3,4,9,49,,,740.66,7200,142,150000
49,40,4,4,9,49,,,680.54,6660,167,175500
49,5,5,1,6,15,,,64.7,600,16,9600
49,50,2,5,9,49,,,722.88,6960,164,181200
49,8,8,1,9,49,,,940.75,9150,66,198600
5,24,12,2,7,22,,,1048.8,1048.8,127.7,133931.76
50,45,9,4,7,23,,,569.3,4500,1000,150000
50,51,3,5,7,32,,,349.6,2700,982.11,88389.9
53,45,9,4,7,23,,,562.91,4500,1000,150000
54,32,8,3,14,73,,,58.48,480,25,12000
54,39,3,4,9,49,,,56.15,450,33,14850
56,32,8,3,4,11,,,86.1,720,45,32400
56,34,10,3,11,61,,,107.63,900,14,12600
56,36,12,3,11,61,,,162.81,1350,14,18900
56,37,1,4,11,61,,,108.67,900,14,12600
56,38,2,4,4,11,,,172.91,1440,45,64800
56,40,4,4,11,61,,,273,2250,30,67500
56,45,9,4,11,61,,,270.51,2250,30,67500
56,47,11,4,4,11,,,71.51,600,45,27000
56,48,12,4,10,60,,,658.015,5400,248,167400
56,49,1,5,4,11,,,271.41,2250,107,76050
56,50,2,5,4,11,,,218.535,1800,75,67500
56,51,3,5,4,11,,,58.7,480,45,21600
56,6,6,1,7,28,,,91.02,750,36,27000
58,11,11,1,12,63,,,347.5,2100,38,79800
59,17,5,2,17,82,,,277.01,1800,34,61200
59,18,6,2,17,82,,,3569.466,23400,250,837000
59,23,11,2,17,81,,,1675.09,10800,102,367200
59,25,1,3,1,6,,,391.3,2520,113,89640
59,27,3,3,1,8,,,3091.52,19800,350,689040
59,28,4,3,7,34,,,1499.64,9390,150,338220
59,29,5,3,17,82,,,626.08,3960,108,142560
59,30,6,3,17,82,,,807.06,5040,143,179640
59,7,7,1,1,6,,,1911.78,12600,409,428760
6,28,4,3,14,69,,,18.31,150,32,4800
6,29,5,3,14,67,,,109.02,900,35,31500
6,31,7,3,14,73,,,55.72,450,33,14850
6,34,10,3,14,68,,,7.2,60,39,2340
6,35,11,3,14,68,,,718.36,5940,39,231660
6,50,2,5,1,5,,,1093.92,9000,35,315000
61,14,2,2,17,81,,,510.8,3000,161,114900
61,17,5,2,14,74,,,52.44,300,50,15000
61,18,6,2,7,44,,,566.42,3300,119,130500
61,19,7,2,1,8,,,819.82,4800,205,188700
61,24,12,2,17,81,,,271.42,1620,87,61500
61,25,1,3,14,74,,,205.02,1200,138,49200
61,26,2,3,11,62,,,308.84,1800,78,70800
61,27,3,3,14,73,,,1097.77,6600,119,253500
61,30,6,3,1,8,,,404.84,2400,38,91200
61,31,7,3,1,8,,,353.05,2100,76,79800
61,32,8,3,1,8,,,198.76,1200,76,45600
61,33,9,3,1,8,,,447.64,2700,73,96300
61,4,4,1,17,81,,,210.4,1200,74,44400
61,41,5,4,17,81,,,520.64,3000,72,108000
61,49,1,5,17,81,,,254.8,1500,35,52500
61,5,5,1,14,74,,,26.5,150,50,7500
61,51,3,5,14,74,,,417.4,2460,125,98220
62,23,11,2,1,6,,,108.609,720,34,24480
62,24,12,2,1,6,,,215.785,1440,68,48960
62,25,1,3,1,6,,,108.21,720,34,24480
62,32,8,3,1,6,,,108.27,720,36,25920
62,35,11,3,1,8,,,590.08,3960,101.5,128160
62,41,5,4,17,81,,,113.1,720,33,23760
62,47,11,4,1,6,,,55.2,360,34,12240
62,51,3,5,17,81,,,111.04,720,66,23760
62,7,7,1,1,6,,,272.9,1800,68,61200
62,9,9,1,2,9,,,1641.5,10800,102,367200
63,10,10,1,2,9,,,850,5100,34,173400
63,37,1,4,17,81,,,19.22,120,32,3840
63,39,3,4,17,81,,,94.1,600,64,19200
63,41,5,4,17,81,,,111.02,720,33,23760
63,43,7,4,17,81,,,55.26,360,33,11880
63,9,9,1,2,9,,,1772.6,10500,102,357000
64,11,11,1,12,63,,,513.3,3000,75,112500
64,12,12,1,12,63,,,103.4,600,38,22800
64,23,11,2,12,63,,,506.7,3000,42,126000
64,24,12,2,7,26,,,51,300,38,11400
64,25,1,3,7,26,,,51,300,38,11400
64,26,2,3,7,26,,,50.8,300,38,11400
64,28,4,3,7,26,,,102,600,40,24000
64,34,10,3,7,26,,,51,300,40,12000
64,39,3,4,7,26,,,102,600,40,24000
64,40,4,4,7,26,,,101.3,600,40,24000
64,7,7,1,1,7,,,105.88,660,74,24240
65,10,10,1,12,63,,,150,900,38,34200
65,11,11,1,12,63,,,1161.9,6900,76,262200
65,12,12,1,12,63,,,200.06,1200,38,45600
65,17,5,2,12,63,,,250,1500,38,57000
65,19,7,2,12,63,,,251,1500,42,63000
65,21,9,2,12,63,,,250.6,1500,42,63000
65,23,11,2,12,63,,,2033.9,12000,42,504000
65,34,10,3,10,60,,,555.7,3300,76,128400
65,35,11,3,1,8,,,353.4,2100,76,79200
65,36,12,3,1,8,,,354.2,2100,75,75000
65,41,5,4,1,6,,,203.3,1200,35,42000
65,47,11,4,1,6,,,453.1,2700,70,94500
65,48,12,4,1,6,,,553.8,3300,70,115500
66,25,1,3,1,8,,,55,390,31,12090
66,27,3,3,1,8,,,114,780,31,24180
66,33,9,3,1,8,,,113.38,780,30,23400
66,35,11,3,2,9,,,1291.87,8970,29,260130
67,10,10,1,2,9,,,475.95,2700,28.5,76950
68,12,12,1,14,67,,,4.66,30,45,1350
68,18,6,2,14,67,,,73.92,480,83,19080
68,19,7,2,14,73,,,273.73,1800,35,63000
68,24,12,2,7,26,,,9.2,60,35,2100
68,35,11,3,2,9,,,1905.91,12600,63,396900
68,4,4,1,14,67,,,9,60,45,2700
68,41,5,4,17,81,,,165.8,1080,33,35640
68,48,12,4,17,81,,,55.94,360,32,11520
68,51,3,5,17,81,,,56.5,360,32,11520
68,7,7,1,14,73,,,162.6,1080,34,36720
68,8,8,1,2,9,,,1085.68,7200,68,244800
69,11,11,1,1,6,,,376.8,2520,66,82080
69,12,12,1,1,6,,,54,360,34,12240
69,19,7,2,1,6,,,108.2,720,68,24480
69,24,12,2,7,26,,,17.8,120,35,4200
69,25,1,3,16,80,,,54,360,35,12600
69,26,2,3,9,52,,,270.6,1800,32,57600
69,30,6,3,1,8,,,54.4,360,36,12960
69,35,11,3,17,82,,,106.8,720,64,23040
69,39,3,4,17,83,,,375.65,2520,66,82080
69,40,4,4,17,81,,,387.4,2520,62,78120
69,43,7,4,14,73,,,275.58,1800,36,64800
69,48,12,4,17,81,,,323.6,2160,32,69120
69,49,1,5,17,82,,,217.8,1440,64,46080
69,51,3,5,17,83,,,164.92,1080,33,35640
7,10,10,1,7,28,,,93.66,780,93,24180
7,14,2,2,14,74,,,194.28,1590,125,49740
7,15,3,2,9,54,,,148.94,1200,62,37200
7,17,5,2,9,54,,,659.03,5400,219,168300
7,20,8,2,1,4,,,598.36,4950,258,160200
7,22,10,2,1,3,,,402.05,3300,224,105450
7,25,1,3,1,8,,,161.24,1290,162,41280
7,35,11,3,14,74,,,48.92,390,66,12870
7,36,12,3,1,1,,,542.69,4500,271,151350
7,37,1,4,14,74,,,278.04,2280,141,75900
7,38,2,4,14,74,,,164.04,1350,99,44550
7,39,3,4,6,19,,,177.66,1500,101,50100
7,4,4,1,14,66,,,342.75,2850,157,89550
7,40,4,4,6,19,,,447.62,3630,133,118500
7,41,5,4,1,8,,,314.24,2550,134,84900
